crop,soil_type,season,temperature_c,humidity_pct,rainfall_mm,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,solar_radiation,wind_speed_kmh,field_area_ha,irrigation_needed,disease_risk,fertilizer_rec,yield_tons_ha
Rice,Clay,Zaid,26.2,47,1515.6,7.09,103.6,33,54.1,15.1,10.1,16.1,36.63,1,Medium,Balanced NPK,4.75
Rice,Sandy Loam,Zaid,43.5,46.1,2052.5,5.19,99.3,30,11,16.3,10,10.1,9.63,1,Medium,MOP,4.31
Rice,Black,Kharif,37,88.9,1948.4,7.99,22.4,18.2,23.2,55.6,19.4,11.8,17.66,0,High,"Urea, DAP",3.63
Maize,Sandy Loam,Kharif,33,46.2,554,6.95,129.9,50.5,63,44.1,10.6,17.9,33.33,1,Medium,Balanced NPK,5.36
Wheat,Alluvial,Rabi,19.7,47.7,543.3,5.13,83.9,40.7,44.7,65.3,29.5,21.9,24.36,1,Low,Balanced NPK,2.57
Potato,Laterite,Rabi,19.7,79.4,816.8,8.35,57.3,69.9,74.6,74.1,14.4,6.8,37.06,0,Medium,Balanced NPK,20.41
Barley,Red,Kharif,16.7,59.2,1030.5,6.57,108.4,7.4,37.2,37.2,19.5,8.6,48.08,0,Low,DAP,2.38
Soybean,Black,Kharif,41,80.5,1139.4,4.79,43.5,53.3,70.2,51.7,11.2,23.3,6.27,0,High,Balanced NPK,2.47
Rice,Sandy Loam,Rabi,33,34.2,1763.3,7.01,100.2,62.2,38.7,45,20.4,14.5,35.62,0,High,Balanced NPK,4.58
Groundnut,Red,Kharif,36.2,61.7,330.4,5.51,15.2,62,78.4,78.7,17.6,4.5,11.9,0,Medium,Urea,2.08
Wheat,Laterite,Zaid,15.6,32.2,279.7,7.71,119.1,71.5,77,68.2,10.9,16.6,21.02,1,Low,Balanced NPK,3.3
Tomato,Red,Zaid,44.1,34.1,1101.4,7.77,68.3,59.7,29.7,73.8,16.7,24.8,2.13,0,Medium,Balanced NPK,24.86
Rice,Laterite,Zaid,40,88.9,1803.5,8.42,92.8,74.6,71.4,27.8,17.8,20.6,7.23,1,High,Balanced NPK,4.34
Potato,Laterite,Rabi,21.4,39.1,644.9,6.51,38.8,29.9,68.6,64.1,29.8,18.6,16.33,0,Low,Urea,19.82
Sugarcane,Laterite,Kharif,20.5,64.6,1675.5,6.32,98,42.7,20.8,28.6,14.2,5.2,17.43,0,Medium,Balanced NPK,70
Tomato,Sandy Loam,Rabi,20.5,56.7,797.6,7.51,110.4,6.1,51.8,24.6,20.9,21.9,45.03,0,Low,DAP,25.04
Sugarcane,Laterite,Rabi,24.1,52.6,2238,5.03,71.5,5.5,10.5,76.1,29.7,13.1,37.22,0,Medium,"DAP, MOP",68.94
Rice,Red,Kharif,30.7,88.5,2260.1,6.69,90.3,23,67.8,11.4,25.8,22.2,48.62,0,High,Balanced NPK,4.6
Tomato,Alluvial,Rabi,28,31.4,883.8,6.68,69.3,12.6,18.1,77.6,29.9,8.2,30.15,0,Low,"DAP, MOP",24.93
Barley,Red,Zaid,23.7,73.1,729,4.86,126.2,24.5,10.3,20.4,29.4,1.6,12.46,0,Medium,MOP,3.05
Tomato,Sandy Loam,Kharif,33.4,92.6,1146,6.17,74.7,18.3,35,67.4,19.8,11.9,16.72,0,High,DAP,24.87
Barley,Laterite,Zaid,19.2,66.4,753.2,7.91,119.4,7.1,48.3,29.3,23.9,6.7,16.33,0,Low,DAP,2.98
Tomato,Alluvial,Zaid,23.8,90.9,1746.5,7.92,114.2,73.2,69.1,34.5,12.2,17.9,16.66,0,High,Balanced NPK,25.14
Rice,Sandy Loam,Kharif,26,33.4,2099.9,4.9,63.4,5.6,78.1,25.2,18.8,23.9,33.81,1,Medium,DAP,4.42
Rice,Black,Zaid,28.7,57.2,1748.1,4.86,39.9,60.2,38,51,26.2,17.3,26.77,0,Medium,Urea,4.55
Rice,Black,Zaid,38.6,46.9,2096,5.55,62.8,16.4,9.5,34.4,20.1,22.2,19.58,0,Medium,"DAP, MOP",4.07
Tomato,Black,Zaid,21,77.5,1113.1,8,117.4,73.4,61.2,56,24.1,11.3,7.88,0,Medium,Balanced NPK,25.38
Cotton,Alluvial,Kharif,30.4,93.8,559.5,5.02,39.6,72,47.4,11.1,24.9,19.3,1.6,1,High,Urea,1.61
Rice,Red,Kharif,32.8,46.7,1897.3,7.38,78.2,54,38.6,14.5,15.1,21.1,11.33,1,High,Balanced NPK,4.43
Barley,Alluvial,Kharif,16.4,72.5,1029.1,4.9,114.8,55.4,28.2,17,27.5,17.8,5.82,0,Medium,Balanced NPK,2.48
Rice,Alluvial,Rabi,33.2,42.9,1743.9,6.99,56,5.4,42.7,39.3,19.2,12.7,39.38,0,Medium,DAP,4.25
Potato,Alluvial,Zaid,20.1,66.7,822.5,5.92,93.5,78.9,30.4,67,14.2,15.6,6.07,0,Low,Balanced NPK,20.49
Wheat,Black,Rabi,17,60.2,386.8,7.66,41.9,70.8,61.8,72.2,27.3,17.5,36.35,0,Low,Balanced NPK,3.21
